Feature,Count_Top5,Pct_Stable
anggaran_it_tahunan_juta_rupiah,14,93.33333333333333
rasio_adopsi_telemedicine,12,80.0
kunjungan_pasien_per_bulan,10,66.66666666666666
jumlah_tenaga_kerja,10,66.66666666666666
tingkat_keterisian_tempat_tidur_persen,9,60.0
digital_gap_score,8,53.333333333333336
jumlah_perangkat_iot,5,33.33333333333333
jumlah_staf_it,3,20.0
jumlah_tempat_tidur,2,13.333333333333334
skor_kematangan_digital,1,6.666666666666667
jumlah_jenis_layanan,1,6.666666666666667
status_implementasi_rme_enc,0,0.0
status_terhubung_satusehat_enc,0,0.0
kelas_rumah_sakit_B,0,0.0
kelas_rumah_sakit_C,0,0.0
kelas_rumah_sakit_D,0,0.0
kepemilikan_BUMN,0,0.0
kepemilikan_Pemerintah Pusat,0,0.0
kepemilikan_Swasta,0,0.0
kepemilikan_TNI/POLRI,0,0.0
region_Bali & Nusa Tenggara,0,0.0
region_Kalimantan,0,0.0
region_Maluku & Papua,0,0.0
region_Sulawesi,0,0.0
region_Sumatera,0,0.0
